,ссылка,цена,агенство,общая площадь,жилая площадь,этаж,всего этажей,Дети,холодильник,посудомойка,стиральная машина,мебель в комнатах,мебель на кухне,телевизор,интернет,кондиционер,душ,ванна,район,улица
0,https://mahachkala.cian.ru/rent/flat/287248550/,3000,Собственник,67.0,0.0,3,9,1,1,0,1,1,1,0,0,0,0,0,0,Кизилюртовская
1,https://mahachkala.cian.ru/rent/flat/287104371/,2000,Собственник,52.0,0.0,6,9,0,1,0,1,1,1,1,1,1,0,1,0,0
2,https://mahachkala.cian.ru/rent/flat/287170526/,2500,Собственник,44.0,24.0,7,10,1,1,0,1,1,1,1,1,1,0,1,0,Ленина
3,https://mahachkala.cian.ru/rent/flat/286285851/,1400,0,41.0,22.0,5,9,0,1,0,1,1,1,1,1,1,0,1,0,Приморская
4,https://mahachkala.cian.ru/rent/flat/283955383/,3500,Собственник,80.0,0.0,14,20,1,1,0,1,1,1,1,1,1,1,0, Ленинский,ВременаГода
5,https://mahachkala.cian.ru/rent/flat/273319351/,2000,Собственник,65.0,12.0,3,4,1,1,0,1,1,1,1,1,1,0,1, Советский,Коркмасова
6,https://mahachkala.cian.ru/rent/flat/285876698/,2500,0,75.0,0.0,8,9,1,1,0,1,1,1,1,1,1,1,0, Ленинский,ТулпараМусалаева
7,https://mahachkala.cian.ru/rent/flat/274442477/,2500,Собственник,56.0,0.0,15,15,1,1,0,1,1,1,1,1,0,0,1,0,Молодежная
8,https://mahachkala.cian.ru/rent/flat/287320003/,2500,0,50.0,22.0,1,11,1,1,0,1,1,1,1,1,0,0,1, Ленинский,0
9,https://mahachkala.cian.ru/rent/flat/287258413/,7000,0,90.0,0.0,16,20,1,1,0,1,1,1,1,1,1,1,0, Ленинский,0
11,https://mahachkala.cian.ru/rent/flat/286870450/,3000,Собственник,61.5,0.0,2,10,1,1,0,1,1,1,1,1,1,0,1,0,Каспийская
14,https://mahachkala.cian.ru/rent/flat/282779220/,1800,Собственник,34.0,14.0,1,5,1,1,1,1,1,1,1,1,1,0,1, Ленинский,ЗоиКосмодемьянской
16,https://mahachkala.cian.ru/rent/flat/281661559/,2700,Собственник,42.0,0.0,4,4,1,1,0,1,1,1,1,1,1,0,1, Кировский,Гусаева
17,https://mahachkala.cian.ru/rent/flat/277542299/,2500,Собственник,41.0,34.0,1,10,0,1,0,1,1,1,1,1,1,1,0, Ленинский,Лаптиева
18,https://mahachkala.cian.ru/rent/flat/286892279/,3500,0,68.0,50.0,4,9,1,1,0,1,1,1,1,1,1,0,1,0,просп.Акулиничева
19,https://mahachkala.cian.ru/rent/flat/262123835/,3000,0,79.9,66.0,5,9,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Заморская
20,https://mahachkala.cian.ru/rent/flat/276242343/,4000,Собственник,68.0,0.0,2,10,1,1,0,1,1,1,1,1,1,0,1,0,Ленина
21,https://mahachkala.cian.ru/rent/flat/272681201/,2500,Собственник,50.0,0.0,5,5,1,1,0,1,1,1,0,0,0,0,0, Ленинский,Ушакова
22,https://mahachkala.cian.ru/rent/flat/287153047/,2100,Собственник,48.6,0.0,4,5,1,1,0,0,1,1,1,1,0,0,1, Ленинский,Лаптиева
23,https://mahachkala.cian.ru/rent/flat/275099784/,3500,0,72.0,0.0,6,10,1,1,0,1,1,1,1,1,1,0,1,0,Ленина
24,https://mahachkala.cian.ru/rent/flat/273880153/,4000,Собственник,59.0,59.0,6,7,1,1,0,1,1,1,1,1,1,0,1,0,Халилова
26,https://mahachkala.cian.ru/rent/flat/284356329/,2200,0,44.0,20.0,9,12,1,1,0,1,1,1,1,1,0,0,1, Советский,Газопроводная
27,https://mahachkala.cian.ru/rent/flat/284708626/,2500,0,50.0,0.0,3,10,1,1,0,1,1,1,1,1,1,0,1,0,Ленина
28,https://mahachkala.cian.ru/rent/flat/281661559/,2700,Собственник,42.0,0.0,4,4,1,1,0,1,1,1,1,1,1,0,1, Кировский,Гусаева
29,https://mahachkala.cian.ru/rent/flat/285834115/,1500,Собственник,26.0,0.0,12,12,1,1,0,1,1,1,1,1,1,1,0,0,Ленина
30,https://mahachkala.cian.ru/rent/flat/286233679/,2000,Собственник,41.0,30.0,8,10,1,1,0,1,1,1,1,1,1,0,1,0,Ленина
31,https://mahachkala.cian.ru/rent/flat/287074465/,1500,Собственник,40.0,0.0,1,3,1,1,0,1,1,1,1,1,0,0,1, Кировский,МагометаГаджиева
32,https://mahachkala.cian.ru/rent/flat/268168153/,2500,0,50.0,16.0,15,20,1,1,0,1,1,1,1,1,1,0,1, Ленинский,ВременаГода
33,https://mahachkala.cian.ru/rent/flat/277590747/,3000,Собственник,54.0,35.0,2,11,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Гапцахская
34,https://mahachkala.cian.ru/rent/flat/260483065/,3500,0,50.0,0.0,7,13,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Лаптиева
36,https://mahachkala.cian.ru/rent/flat/271367762/,3800,0,74.0,36.0,10,12,1,1,0,1,1,1,1,1,1,0,1,0,просп.Акулиничева
38,https://mahachkala.cian.ru/rent/flat/277170843/,3000,Собственник,60.0,40.0,3,11,1,1,0,1,1,1,1,0,1,0,1, Ленинский,2-йЛаптиева
39,https://mahachkala.cian.ru/rent/flat/265132652/,3500,0,84.3,55.0,5,10,1,1,0,1,1,1,1,1,1,0,1, Ленинский,ГамзатаЦадасы
40,https://mahachkala.cian.ru/rent/flat/271359607/,6000,Собственник,71.0,71.0,9,16,0,1,0,1,1,1,0,0,0,0,0, Советский,0
41,https://mahachkala.cian.ru/rent/flat/284997918/,2500,0,46.0,18.0,6,6,1,1,0,1,1,1,1,1,1,0,1, Советский,АбдулхамидаЮсупова
42,https://mahachkala.cian.ru/rent/flat/274498225/,3000,Собственник,122.6,75.0,4,11,0,1,0,1,1,1,1,1,1,0,1, Ленинский,0
43,https://mahachkala.cian.ru/rent/flat/286286056/,1500,0,56.0,40.0,4,5,1,1,1,1,1,1,1,1,1,0,1,0,Советская
45,https://mahachkala.cian.ru/rent/flat/282436298/,2200,0,35.0,25.0,1,12,1,1,0,1,1,1,1,1,1,0,0, Ленинский,ЭльзыИбрагимовой
46,https://mahachkala.cian.ru/rent/flat/273958236/,5000,Собственник,60.0,0.0,1,12,1,1,0,1,1,1,1,1,1,1,0, Ленинский,просп.РасулаГамзатова
47,https://mahachkala.cian.ru/rent/flat/287334210/,2500,0,79.0,65.0,4,9,1,1,0,1,1,1,1,1,1,0,1,0,Ленина
48,https://mahachkala.cian.ru/rent/flat/287335928/,3600,Собственник,50.0,50.0,8,12,0,1,0,1,1,1,1,1,1,0,1,0,Молодежная
49,https://mahachkala.cian.ru/rent/flat/270844697/,2600,Собственник,66.0,29.0,6,13,1,1,0,1,1,1,1,1,1,0,1, Советский,АбдулхамидаЮсупова
50,https://mahachkala.cian.ru/rent/flat/286901074/,5000,0,60.0,50.0,3,5,1,1,0,1,1,1,1,1,1,1,1, Ленинский,0
51,https://mahachkala.cian.ru/rent/flat/273588453/,3000,Собственник,60.0,48.0,5,10,1,1,0,1,1,1,1,1,1,0,1,0,Ленина
52,https://mahachkala.cian.ru/rent/flat/284194603/,1000,0,33.0,0.0,2,5,1,1,0,1,1,1,1,1,1,1,0, Ленинский,Устарбекова
53,https://mahachkala.cian.ru/rent/flat/241834132/,1500,Собственник,40.0,15.0,1,3,1,1,0,1,1,1,1,1,1,1,0, Ленинский,Лаптиева
55,https://mahachkala.cian.ru/rent/flat/268981204/,1500,0,50.0,34.0,2,5,1,1,0,1,1,1,0,0,0,0,0, Ленинский,0
56,https://mahachkala.cian.ru/rent/flat/274663338/,3500,Собственник,52.0,35.0,10,10,1,1,0,1,1,1,1,1,1,1,0,0,Халилова
57,https://mahachkala.cian.ru/rent/flat/286707324/,1500,Собственник,32.0,24.0,2,5,1,1,0,1,1,1,1,1,1,0,1,0,Орджоникидзе
58,https://mahachkala.cian.ru/rent/flat/287341107/,2000,Собственник,32.0,14.0,14,14,0,1,0,1,1,1,1,1,1,0,1, Ленинский,ЭльзыИбрагимовой
59,https://mahachkala.cian.ru/rent/flat/287353645/,2000,Собственник,35.0,30.0,2,5,1,1,0,1,1,1,1,1,1,1,0, Ленинский,Гайдара
60,https://mahachkala.cian.ru/rent/flat/286647147/,2000,Собственник,40.0,25.0,2,9,1,1,0,1,1,1,1,1,1,0,1,0,Сталина
61,https://mahachkala.cian.ru/rent/flat/279531287/,3000,0,50.0,0.0,10,10,1,1,0,1,1,1,1,1,1,1,0, Ленинский,Батырая
62,https://mahachkala.cian.ru/rent/flat/266115279/,2000,Собственник,40.0,25.0,7,8,1,1,0,1,1,1,1,1,1,0,1, Ленинский,0
63,https://mahachkala.cian.ru/rent/flat/259339664/,2500,Собственник,54.0,20.0,2,10,1,1,0,1,1,1,1,1,1,0,1,0,Молодежная
64,https://mahachkala.cian.ru/rent/flat/274540593/,4500,Собственник,58.0,0.0,11,13,1,1,1,1,1,1,1,1,1,0,1,0,Халилова
65,https://mahachkala.cian.ru/rent/flat/286717445/,2000,0,40.0,20.0,4,10,1,1,0,1,1,1,1,1,1,0,1,0,просп.Акулиничева
67,https://mahachkala.cian.ru/rent/flat/273653282/,3500,Собственник,58.0,0.0,2,10,1,1,0,1,1,1,1,1,1,0,1,0,просп.Акулиничева
68,https://mahachkala.cian.ru/rent/flat/277542299/,2500,Собственник,41.0,34.0,1,10,0,1,0,1,1,1,1,1,1,1,0, Ленинский,Лаптиева
69,https://mahachkala.cian.ru/rent/flat/285232197/,1600,Собственник,46.0,36.0,4,10,1,1,0,1,1,1,1,1,1,0,1,0,Ленина
70,https://mahachkala.cian.ru/rent/flat/278149259/,2500,Собственник,25.0,20.0,1,1,1,1,0,1,1,1,0,0,0,0,0, Кировский,Герцена
71,https://mahachkala.cian.ru/rent/flat/284450947/,3500,0,40.0,25.0,6,10,1,1,0,1,1,1,0,1,1,0,1, Советский,МаксимаГорького
72,https://mahachkala.cian.ru/rent/flat/287158127/,2000,Собственник,30.0,20.0,1,1,1,1,0,1,1,1,0,0,0,0,0, Ленинский,ГамзатаЦадасы
73,https://mahachkala.cian.ru/rent/flat/287242759/,2500,Собственник,35.0,18.0,1,4,1,1,0,1,1,1,1,1,1,0,1,0,Орджоникидзе
74,https://mahachkala.cian.ru/rent/flat/278236400/,2500,0,40.0,8.0,2,5,1,1,0,1,1,1,1,1,0,0,1, Ленинский,0
75,https://mahachkala.cian.ru/rent/flat/286586739/,2500,Собственник,40.0,27.0,6,10,1,1,0,1,1,1,1,1,1,0,1,0,Амет-ханСултана
76,https://mahachkala.cian.ru/rent/flat/286285851/,1400,0,41.0,22.0,5,9,0,1,0,1,1,1,1,1,1,0,1,0,Приморская
77,https://mahachkala.cian.ru/rent/flat/287293310/,3000,0,35.0,0.0,1,12,1,1,0,1,1,1,1,1,1,1,0, Ленинский,просп.РасулаГамзатова
78,https://mahachkala.cian.ru/rent/flat/287165022/,1400,Собственник,35.0,28.0,1,6,1,1,0,1,1,1,1,0,1,0,1, Ленинский,Атланаульская
79,https://mahachkala.cian.ru/rent/flat/286893862/,2000,0,40.0,20.0,5,9,1,1,0,1,1,1,1,1,1,0,1,0,просп.Акулиничева
80,https://mahachkala.cian.ru/rent/flat/287000718/,2000,Собственник,40.0,0.0,2,5,1,1,0,1,1,1,1,1,1,0,1,0,АзизаАлиева
81,https://mahachkala.cian.ru/rent/flat/287203685/,2500,Собственник,40.0,6.0,6,12,1,1,0,1,1,1,1,1,1,0,1, Кировский,0
82,https://mahachkala.cian.ru/rent/flat/274043556/,3000,Собственник,30.0,22.0,1,5,1,1,0,1,1,1,1,1,1,0,1, Кировский,Мирзабекова
83,https://mahachkala.cian.ru/rent/flat/287046825/,3000,Собственник,50.0,40.0,11,12,1,1,1,1,1,1,1,1,1,0,1, Ленинский,Магарамкентская
84,https://mahachkala.cian.ru/rent/flat/272403895/,2500,Собственник,50.0,0.0,3,9,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Ибрагима-ХаджиУрадинского
85,https://mahachkala.cian.ru/rent/flat/273899389/,2500,Собственник,65.0,0.0,4,6,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Красноярская
